City,Country,date,Lat,Lon,MaxTemp,WindSpeed,Clouds,Humidity
vagur,FO,1600823181,61.47,-6.81,44.44,10.56,95,77
saint-pierre,RE,1600823181,-21.34,55.48,66.2,9.17,18,55
buckeye,US,1600823182,33.37,-112.58,100.99,4.7,40,17
jasidih,IN,1600823183,24.52,86.65,78.57,9.57,99,89
ulkan,RU,1600823185,57.24,107.32,44.22,2.62,5,77
sampit,ID,1600823185,-2.53,112.95,81.97,1.63,100,79
hualmay,PE,1600823185,-11.1,-77.61,61.14,5.77,10,84
salinopolis,BR,1600823139,-0.61,-47.36,79.41,13.89,66,80
zempoala,MX,1600823108,19.45,-96.42,82.99,5.82,5,69
barrow,US,1600823102,71.29,-156.79,32.0,11.41,90,93
zyryanka,RU,1600823186,65.75,150.85,41.95,6.51,100,89
dauphin,CA,1600823187,51.15,-100.05,66.2,21.92,1,55
karabash,RU,1600823187,55.48,60.22,50.56,17.58,100,89
cidreira,BR,1600823187,-30.18,-50.21,58.89,19.39,0,75
erzin,TR,1600823188,36.96,36.2,78.01,0.85,10,83
palasa,IN,1600823188,18.77,84.42,79.74,6.15,88,86
claresholm,CA,1600823000,50.03,-113.59,57.2,8.05,74,62
contai,IN,1600823189,21.78,87.75,81.86,11.9,100,87
gushikawa,JP,1600823189,26.35,127.87,84.2,4.7,40,78
umm lajj,SA,1600823035,25.02,37.27,85.39,7.72,0,54
leningradskiy,RU,1600823190,69.38,178.42,40.64,16.46,100,85
kavaratti,IN,1600823190,10.57,72.64,81.52,20.42,71,79
tarko-sale,RU,1600823190,64.92,77.78,37.99,16.02,100,92
sorland,NO,1600823191,67.67,12.69,45.43,18.84,100,71
nouadhibou,MR,1600823191,20.93,-17.03,75.2,14.99,0,78
arraial do cabo,BR,1600823025,-22.97,-42.03,68.02,18.34,100,86
lodwar,KE,1600823192,3.12,35.6,81.75,18.23,100,47
bestobe,KZ,1600823192,52.5,73.1,42.35,10.71,27,73
tha chang,TH,1600823192,9.26,99.19,82.0,3.36,20,94
valparaiso,CL,1600823037,-33.04,-71.63,55.99,4.7,100,93
saint anthony,US,1600823193,45.02,-93.22,77.0,3.36,1,50
zhangye,CN,1600823193,38.93,100.45,62.55,6.69,0,37
